"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-01","15.66"," 1213","0.00","0.0","0.0","33","37","28","  280","  260","25.9","34.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-02","11.86"," 0554","0.03","0.4","0.0","28","33","24","  280","  290","21.9","30.0","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-03","14.99"," 1346","0.08","1.3","1.0","26","31","19","  280","  290","23.9","33.1","    1",,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-04","13.87"," 1111","0.00","0.0","1.0","17","19","11","  260","  240","18.1","23.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-05","7.61"," 2229","0.00","0.0","1.0","17","24","11","   40","   40","18.1","23.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-06","13.87"," 1439","0.03","0.8","2.0","23","26","20","  350","  350","23.0","30.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-07","8.50"," 1508","0.00","0.0","1.0","25","30","20","  270","  290","15.0","19.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-08","10.29"," 1606","0.00","0.2","1.0","23","26","16","  260","  260","17.0","21.9",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-09","6.71"," 1652","0.00","0.0","1.0","19","26","9","  220","  220","14.1","17.0",,,,,,,,
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2025-01-10","8.28"," 1233","0.21","2.2","0.0","20","26","15","  190","  180","16.1","19.0","    1",,,,,,,
